"","date","E2","E5","E1","E3","P1","P3","P4","P6","P7","P8","P9","P2","E4","P5"
"1",2019-10-01 00:00:00,15.4,17.1,12.4,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2019-10-01 01:00:00,14.9,14,13.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2019-10-01 02:00:00,9.8,13.8,11.7,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2019-10-01 03:00:00,12.9,11.1,17.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2019-10-01 04:00:00,12.2,17.6,14.1,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2019-10-01 05:00:00,11.7,11.2,13.5,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2019-10-01 06:00:00,12.7,16.8,14.6,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2019-10-01 07:00:00,13,17.7,11.4,14.5,16.633,19.223,15.4073333333333,15.9088888888889,17.257,13.1063829787234,15.6476666666667,17.27,NA,NA
"9",2019-10-01 08:00:00,18.8,14.1,12,13.4,16.194,20.124,15.4296666666667,16.4972727272727,17.3116666666667,13.5154347826087,17.1036666666667,18.2953333333333,NA,NA
"10",2019-10-01 09:00:00,12.5,12.8,13.2,16.4,19.6226666666667,20.4666666666667,15.2846666666667,16.0841176470588,17.1343333333333,17.626976744186,16.705,18.3413333333333,NA,NA
"11",2019-10-01 10:00:00,13.2,12.2,9.2,12.2,20.9053333333333,18.271,15.5796666666667,15.853125,17.1226666666667,17.0225531914894,17.714,17.655,NA,NA
"12",2019-10-01 11:00:00,9.3,10.8,11,14.8,16.7433333333333,19.9743333333333,17.585,16.8688888888889,16.5756666666667,12.7782352941176,18.0496428571429,19.1246666666667,NA,NA
"13",2019-10-01 12:00:00,16,18.8,13.6,8.2,16.9013333333333,24.3733333333333,17.1533333333333,16.585,16.7706666666667,10.984693877551,17.3463333333333,18.66,NA,NA
"14",2019-10-01 13:00:00,12.7,12.9,8.7,13.3,15.3233333333333,21.045,16.466,15.3042857142857,16.708,11.0418367346939,18.831,18.5478125,NA,NA
"15",2019-10-01 14:00:00,10.7,17.6,13.5,0,14.696,19.7873333333333,15.5406666666667,14.332,14.9476666666667,11.2655102040816,18.833,17.0923333333333,NA,NA
"16",2019-10-01 15:00:00,12.3,15.3,11.2,NA,15.034,18.261,15.3935483870968,13.8195454545455,13.577,10.9973076923077,15.4773333333333,16.2513333333333,NA,NA
"17",2019-10-01 16:00:00,6.9,18.7,9.8,13.6,13.9426666666667,18.301,14.1216666666667,13.1506578947368,13.4422580645161,10.8059615384615,14.7173333333333,15.996,NA,NA
"18",2019-10-01 17:00:00,16.7,18.5,9.3,13.3,13.2023333333333,16.2343333333333,13.0232142857143,13.105652173913,13.7953333333333,11.7282,14.038,15.9196774193548,NA,NA
"19",2019-10-01 18:00:00,11.1,21.9,10,8.2,12.838,17.568,12.4636666666667,12.7703225806452,13.7683333333333,11.1953846153846,13.303,14.523,NA,NA
"20",2019-10-01 19:00:00,9.1,18.2,5.7,8.9,12.3826666666667,15.5343333333333,12.5673333333333,12.7506060606061,13.631,10.9151063829787,13.7196666666667,14.341935483871,NA,NA
"21",2019-10-01 20:00:00,10.5,18.6,10.5,7.5,12.103,16.9706666666667,12.5533333333333,12.2048387096774,13.22,11.3337777777778,14.134,15.0023333333333,NA,NA
"22",2019-10-01 21:00:00,14.2,15.2,16.5,10.1,12.7386666666667,13.716,12.5663333333333,11.8206451612903,13.5636666666667,11.2366666666667,12.889,13.3603333333333,NA,NA
"23",2019-10-01 22:00:00,11.7,19.6,10.1,6,12.0783333333333,14.1736666666667,11.5196428571429,11.79,19.4886666666667,15.0546,11.996,13.0976666666667,NA,NA
"24",2019-10-01 23:00:00,12.8,13.1,10.1,1.3,13.5313333333333,17.125,12.0613333333333,11.924,28.2696774193548,15.263137254902,12.8083333333333,14.3213333333333,NA,NA
"25",2019-10-02 00:00:00,11.2,15.2,14.1,19.2,14.717,17.892,13.498,12.8125,15.6853571428571,11.891320754717,16.2766666666667,15.1723333333333,NA,NA
"26",2019-10-02 01:00:00,14.8,11.8,14.9,2.7,15.7426666666667,15.241,14.4433333333333,12.4653333333333,13.9386666666667,11.2709375,13.75,14.8264516129032,NA,NA
"27",2019-10-02 02:00:00,11.6,16.2,13.3,9.7,14.5846666666667,21.8346666666667,14.8956666666667,11.08,14.054,10.8553333333333,11.2893333333333,13.029,NA,NA
"28",2019-10-02 03:00:00,11.7,14.8,12.2,10.2,11.3133333333333,13.0773333333333,12.158,12.186,13.2836666666667,9.85,11.0623333333333,13.1373333333333,NA,NA
"29",2019-10-02 04:00:00,13.2,17.2,10.2,7.6,12.6243333333333,13.5543333333333,12.6413333333333,14.260625,12.7723333333333,9.81766666666667,13.3726666666667,14.6863333333333,NA,NA
"30",2019-10-02 05:00:00,8.9,17.2,8.6,8,13.0873333333333,6.39689655172414,8.00166666666667,13.292972972973,3.64586206896552,3.16176470588235,9.668,13.098,NA,NA
"31",2019-10-02 06:00:00,12,16.3,8.3,7.2,1.24708333333333,0.152222222222222,0.184782608695652,2.99838709677419,0.138333333333333,0.065,0.342307692307692,0.505,NA,NA
"32",2019-10-02 07:00:00,4.1,4.4,8.2,10.3,0.191578947368421,0.234666666666667,0.139583333333333,0.376333333333333,0.148461538461538,0.13,0.192857142857143,0.531379310344828,NA,NA
"33",2019-10-02 08:00:00,4,4,7.4,7.7,1.14033333333333,0.297241379310345,0.981666666666667,3.651,0.522758620689655,0.194444444444444,0.336296296296296,1.434,NA,NA
"34",2019-10-02 09:00:00,8.2,8.2,5.3,4.6,1.134,0.709333333333333,0.833,4.05566666666667,1.08,0.23625,0.502333333333333,1.52066666666667,NA,NA
"35",2019-10-02 10:00:00,8.3,10.2,7.7,4.6,2.604,1.42133333333333,1.254,3.26366666666667,0.442666666666667,0.159047619047619,1.08833333333333,1.985625,NA,NA
"36",2019-10-02 11:00:00,11.6,10.7,10,12.3,1.128,0.48,0.787333333333333,2.92866666666667,0.5456,0.217692307692308,1.373,3.19033333333333,NA,NA
"37",2019-10-02 12:00:00,6.2,3.7,12.6,15.9,0.968,0.598846153846154,1.06966666666667,8.84290322580645,1.16,0.097,0.777142857142857,1.95806451612903,NA,NA
"38",2019-10-02 13:00:00,9,6.6,12,4,0.897826086956522,0.1335,0.921666666666667,2.383,0.563684210526316,0.103333333333333,0.636333333333333,1.851,NA,NA
